---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  6.530e-01  [0 1.000e+00 1.000e+00 3.440e-04]  [5 -17 80]
 NS 1-2  1.219e+00  [-64 6.021e-04 6.021e-04 2.057e-04]  [4 -17 77]
 NS 1-3  1.791e+00  [-136 1.422e-07 1.422e-07 3.308e-04]  [4 -16 77]
 NS 1-4  2.336e+00  [-205 5.274e-11 5.274e-11 2.937e-04]  [4 -15 76]
 NS 1-5  2.784e+00  [-249 3.502e-13 3.502e-13 2.580e-04]  [3 -17 68]
 NS 2-1  3.259e+00  [0 1.000e+00 3.663e+01 2.564e-04]  [3 -16 72]
 NS 2-2  3.823e+00  [-71 2.602e-04 9.531e-03 2.603e-04]  [4 -16 76]
 NS 2-3  4.385e+00  [-141 8.018e-08 2.937e-06 2.858e-04]  [4 -17 77]
 NS 2-4  4.927e+00  [-211 2.677e-11 9.804e-10 2.917e-04]  [4 -15 75]
 NS 2-5  5.458e+00  [-279 1.005e-14 3.682e-13 2.921e-04]  [4 -16 73]
 NS 3-1  5.940e+00  [0 1.000e+00 3.570e+01 4.750e-04]  [3 -17 72]
 NS 3-2  6.504e+00  [-66 4.778e-04 1.706e-02 2.341e-04]  [4 -17 76]
 NS 3-3  7.076e+00  [-136 1.564e-07 5.585e-06 3.350e-04]  [4 -17 77]
 NS 3-4  7.640e+00  [-203 6.353e-11 2.268e-09 2.878e-04]  [4 -16 76]
 NS 3-5  8.198e+00  [-270 2.896e-14 1.034e-12 2.803e-04]  [4 -16 74]
 NS 4-1  8.676e+00  [0 1.000e+00 4.315e+01 2.147e-04]  [3 -16 72]
 NS 4-2  9.247e+00  [-72 2.275e-04 9.815e-03 3.113e-04]  [4 -17 77]
 NS 4-3  9.816e+00  [-139 1.069e-07 4.612e-06 2.860e-04]  [4 -17 77]
 NS 4-4  1.037e+01  [-206 5.009e-11 2.161e-09 2.729e-04]  [4 -15 76]
 NS 4-5  1.091e+01  [-271 2.746e-14 1.185e-12 2.673e-04]  [4 -16 73]
 NS 5-1  1.139e+01  [0 1.000e+00 5.022e+01 2.742e-04]  [3 -17 73]
 NS 5-2  1.196e+01  [-71 2.769e-04 1.391e-02 2.446e-04]  [4 -18 77]
 NS 5-3  1.253e+01  [-135 1.600e-07 8.034e-06 2.722e-04]  [4 -16 77]
 NS 5-4  1.310e+01  [-202 7.810e-11 3.922e-09 2.218e-04]  [4 -17 77]
 NS 5-5s 1.358e+01  [-265 5.158e-14 2.590e-12 9.865e-04]  [3 -16 70]
 NS 6-1  1.426e+01  [0 1.000e+00 6.480e+01 6.256e-04]  [2 -15 39]
 NS 6-2  1.483e+01  [-64 6.279e-04 4.069e-02 2.629e-04]  [4 -15 77]
 NS 6-3  1.530e+01  [-122 7.613e-07 4.933e-05 8.887e-04]  [3 -17 72]
 NS 6-4  1.586e+01  [-181 8.018e-10 5.196e-08 2.350e-04]  [4 -18 76]
 NS 6-5  1.643e+01  [-243 7.006e-13 4.540e-11 2.027e-04]  [4 -17 75]
 NS 7-1  1.682e+01  [0 1.000e+00 8.304e+01 6.640e-04]  [2 -15 66]
 NS 7-2  1.742e+01  [-63 6.640e-04 5.514e-02 2.530e-04]  [4 -17 78]
 NS 7-3  1.791e+01  [-119 1.031e-06 8.564e-05 6.396e-04]  [3 -17 72]
 NS 7-4  1.847e+01  [-180 9.874e-10 8.200e-08 2.144e-04]  [4 -17 77]
 NS 7-5  1.896e+01  [-239 1.119e-12 9.293e-11 8.386e-04]  [3 -17 71]
 NS 8-1  1.935e+01  [0 1.000e+00 1.024e+02 3.051e-04]  [2 -18 66]
 NS 8-2  1.991e+01  [-70 3.102e-04 3.177e-02 2.365e-04]  [4 -17 76]
 NS 8-3  2.040e+01  [-126 4.482e-07 4.592e-05 9.440e-04]  [3 -17 73]
 NS 8-4  2.096e+01  [-184 5.810e-10 5.952e-08 1.904e-04]  [4 -19 77]
