---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.590e-01  [0 1.000e+00 1.000e+00 3.390e-04]  [5 -17 72]
 NS 1-2  2.770e-01  [-54 1.987e-03 1.987e-03 6.500e-04]  [3 -17 63]
 NS 1-3  4.120e-01  [-116 1.483e-06 1.483e-06 2.447e-04]  [4 -18 67]
 NS 1-4  5.450e-01  [-179 1.052e-09 1.052e-09 2.159e-04]  [4 -17 67]
 NS 1-5  6.820e-01  [-244 5.924e-13 5.924e-13 2.590e-04]  [4 -16 65]
 NS 2-1  7.980e-01  [0 1.000e+00 2.456e+01 3.530e-04]  [3 -18 61]
 NS 2-2  9.340e-01  [-66 4.689e-04 1.152e-02 2.214e-04]  [4 -16 67]
 NS 2-3  1.052e+00  [-128 3.829e-07 9.405e-06 7.513e-04]  [3 -16 63]
 NS 2-4  1.191e+00  [-188 3.582e-10 8.800e-09 2.033e-04]  [4 -18 68]
 NS 2-5  1.316e+00  [-251 2.694e-13 6.617e-12 8.210e-04]  [3 -17 61]
 NS 3-1  1.434e+00  [0 1.000e+00 2.372e+01 7.828e-04]  [3 -16 62]
 NS 3-2  1.571e+00  [-61 8.610e-04 2.042e-02 2.592e-04]  [4 -16 67]
 NS 3-3  1.691e+00  [-121 8.742e-07 2.074e-05 9.034e-04]  [3 -17 62]
 NS 3-4  1.830e+00  [-179 1.068e-09 2.533e-08 2.444e-04]  [4 -18 68]
 NS 3-5  1.954e+00  [-239 1.113e-12 2.639e-11 8.794e-04]  [3 -16 60]
 NS 4-1  2.070e+00  [0 1.000e+00 2.838e+01 3.102e-04]  [3 -16 62]
 NS 4-2  2.205e+00  [-64 6.289e-04 1.785e-02 2.099e-04]  [4 -17 67]
 NS 4-3  2.323e+00  [-121 8.641e-07 2.453e-05 7.076e-04]  [3 -17 63]
 NS 4-4  2.459e+00  [-177 1.342e-09 3.808e-08 1.935e-04]  [4 -17 68]
 NS 4-5  2.588e+00  [-233 2.041e-12 5.793e-11 6.524e-04]  [3 -17 61]
 NS 5-1  2.704e+00  [0 1.000e+00 3.089e+01 4.935e-04]  [3 -17 61]
 NS 5-2  2.839e+00  [-64 5.668e-04 1.751e-02 1.903e-04]  [4 -19 67]
 NS 5-3  2.957e+00  [-118 1.175e-06 3.630e-05 5.974e-04]  [3 -17 63]
 NS 5-4  3.076e+00  [-173 2.031e-09 6.273e-08 8.833e-04]  [3 -18 61]
 NS 5-5s 3.224e+00  [-226 4.603e-12 1.422e-10 2.394e-04]  [4 -17 64]
 NS 6-1  3.457e+00  [0 1.000e+00 4.011e+01 1.699e-04]  [3 -19 33]
 NS 6-2  3.579e+00  [-65 5.172e-04 2.074e-02 7.425e-04]  [3 -17 61]
 NS 6-3  3.703e+00  [-117 1.311e-06 5.256e-05 7.580e-04]  [3 -17 62]
 NS 6-4  3.823e+00  [-168 3.806e-09 1.526e-07 8.734e-04]  [3 -16 62]
 NS 6-5  3.949e+00  [-219 1.086e-11 4.357e-10 8.781e-04]  [3 -17 60]
 NS 7-1  4.070e+00  [0 1.000e+00 5.095e+01 2.455e-04]  [3 -16 60]
 NS 7-2  4.189e+00  [-68 3.566e-04 1.817e-02 8.340e-04]  [3 -17 61]
 NS 7-3  4.308e+00  [-115 1.718e-06 8.754e-05 6.204e-04]  [3 -18 63]
 NS 7-4  4.432e+00  [-165 5.509e-09 2.807e-07 6.991e-04]  [3 -17 64]
 NS 7-5  4.559e+00  [-214 1.862e-11 9.485e-10 8.024e-04]  [3 -17 61]
 NS 8-1  4.655e+00  [0 1.000e+00 6.273e+01 5.586e-04]  [2 -17 53]
 NS 8-2  4.791e+00  [-62 7.403e-04 4.644e-02 2.239e-04]  [4 -16 67]
 NS 8-3  4.910e+00  [-109 3.524e-06 2.210e-04 6.380e-04]  [3 -16 62]
 NS 8-4  5.029e+00  [-156 1.533e-08 9.617e-07 8.059e-04]  [3 -17 62]
 NS 8-5  5.152e+00  [-201 8.310e-11 5.213e-09 9.135e-04]  [3 -16 60]
 NS 9-1  5.250e+00  [0 1.000e+00 7.613e+01 7.003e-04]  [2 -16 54]
 NS 9-2  5.385e+00  [-61 8.356e-04 6.362e-02 1.948e-04]  [4 -18 67]
 NS 9-3  5.500e+00  [-103 6.758e-06 5.145e-04 5.291e-04]  [3 -18 62]
 NS 9-4  5.617e+00  [-148 3.612e-08 2.750e-06 6.102e-04]  [3 -17 62]
 NS 9-5  5.756e+00  [-193 2.206e-10 1.680e-08 1.769e-04]  [4 -17 65]
 NS 10-1  5.852e+00  [0 1.000e+00 8.931e+01 5.688e-04]  [2 -17 53]
 NS 10-2  5.970e+00  [-61 8.131e-04 7.262e-02 8.206e-04]  [3 -17 62]
 NS 10-3  6.090e+00  [-104 5.967e-06 5.329e-04 8.026e-04]  [3 -18 62]
 NS 10-4  6.212e+00  [-147 4.010e-08 3.582e-06 6.997e-04]  [3 -17 63]
 NS 10-5s 6.336e+00  [-190 3.038e-10 2.713e-08 9.141e-04]  [3 -17 60]
 NS 11-1  6.533e+00  [0 1.000e+00 1.034e+02 6.041e-04]  [2 -17 27]
 NS 11-2  6.651e+00  [-61 8.744e-04 9.043e-02 9.115e-04]  [3 -17 63]
 NS 11-3  6.766e+00  [-101 8.162e-06 8.441e-04 7.800e-04]  [3 -17 61]
 NS 11-4  6.885e+00  [-143 6.461e-08 6.682e-06 6.524e-04]  [3 -17 61]
 NS 11-5  7.007e+00  [-185 5.622e-10 5.815e-08 8.778e-04]  [3 -16 60]
 NS 12-1  7.107e+00  [0 1.000e+00 1.173e+02 5.767e-04]  [2 -17 54]
 NS 12-2  7.225e+00  [-60 9.309e-04 1.092e-01 7.961e-04]  [3 -17 63]
 NS 12-3  7.343e+00  [-100 9.408e-06 1.104e-03 7.475e-04]  [3 -17 61]
 NS 12-4  7.461e+00  [-141 8.704e-08 1.021e-05 6.042e-04]  [3 -17 63]
 NS 12-5  7.582e+00  [-180 9.009e-10 1.057e-07 8.142e-04]  [3 -17 60]
 NS 13-1  7.680e+00  [0 1.000e+00 1.315e+02 5.855e-04]  [2 -17 53]
 NS 13-2  7.798e+00  [-59 1.000e-03 1.316e-01 7.778e-04]  [3 -17 62]
 NS 13-3  7.914e+00  [-98 1.155e-05 1.520e-03 7.256e-04]  [3 -17 62]
 NS 13-4  8.032e+00  [-138 1.229e-07 1.617e-05 5.559e-04]  [3 -16 63]
 NS 13-5  8.153e+00  [-176 1.458e-09 1.917e-07 7.684e-04]  [3 -17 60]
 NS 14-1  8.249e+00  [0 1.000e+00 1.456e+02 5.816e-04]  [2 -17 54]
 NS 14-2  8.366e+00  [-59 1.077e-03 1.568e-01 7.300e-04]  [3 -17 62]
 NS 14-3  8.481e+00  [-97 1.379e-05 2.008e-03 7.050e-04]  [3 -17 62]
 NS 14-4  8.599e+00  [-135 1.673e-07 2.436e-05 5.111e-04]  [3 -16 62]
 NS 14-5  8.719e+00  [-172 2.267e-09 3.301e-07 7.173e-04]  [3 -17 60]
 NS 15-1  8.819e+00  [0 1.000e+00 1.597e+02 5.876e-04]  [2 -17 56]
 NS 15-2  8.936e+00  [-58 1.159e-03 1.851e-01 7.047e-04]  [3 -17 62]
