---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  3.600e-02  [0 1.000e+00 1.000e+00 2.315e-04]  [5 -18 69]
 NS 1-2  6.300e-02  [-58 1.189e-03 1.189e-03 3.638e-04]  [3 -19 59]
 NS 1-3  9.000e-02  [-125 5.453e-07 5.453e-07 9.952e-04]  [3 -17 59]
 NS 1-4  1.180e-01  [-184 5.684e-10 5.684e-10 2.110e-04]  [4 -20 61]
 NS 1-5  1.460e-01  [-252 2.470e-13 2.470e-13 8.874e-04]  [3 -17 54]
 NS 2-1  1.720e-01  [0 1.000e+00 1.752e+01 2.942e-04]  [3 -17 58]
 NS 2-2  1.980e-01  [-67 4.050e-04 7.094e-03 7.780e-04]  [3 -16 58]
 NS 2-3  2.250e-01  [-128 3.729e-07 6.532e-06 9.335e-04]  [3 -17 56]
 NS 2-4  2.560e-01  [-188 3.957e-10 6.930e-09 1.873e-04]  [4 -19 65]
 NS 2-5  2.830e-01  [-253 2.213e-13 3.876e-12 6.244e-04]  [3 -19 56]
 NS 3-1  3.090e-01  [0 1.000e+00 1.597e+01 7.471e-04]  [3 -17 58]
 NS 3-2  3.350e-01  [-61 8.012e-04 1.279e-02 8.701e-04]  [3 -21 58]
 NS 3-3  3.650e-01  [-121 8.812e-07 1.407e-05 1.999e-04]  [4 -19 63]
 NS 3-4  3.900e-01  [-184 6.022e-10 9.616e-09 6.991e-04]  [3 -17 56]
 NS 3-5  4.210e-01  [-245 5.120e-13 8.175e-12 2.135e-04]  [4 -18 61]
 NS 4-1  4.470e-01  [0 1.000e+00 1.856e+01 2.919e-04]  [3 -16 58]
 NS 4-2  4.730e-01  [-64 5.800e-04 1.077e-02 8.180e-04]  [3 -18 54]
 NS 4-3  4.990e-01  [-122 7.216e-07 1.339e-05 6.652e-04]  [3 -17 54]
 NS 4-4  5.290e-01  [-181 8.516e-10 1.581e-08 1.528e-04]  [4 -19 63]
 NS 4-5  5.570e-01  [-242 7.639e-13 1.418e-11 6.623e-04]  [3 -17 57]
 NS 5-1  5.830e-01  [0 1.000e+00 1.916e+01 5.167e-04]  [3 -18 58]
 NS 5-2  6.100e-01  [-65 5.468e-04 1.048e-02 9.087e-04]  [3 -18 56]
 NS 5-3  6.360e-01  [-119 1.040e-06 1.992e-05 8.591e-04]  [3 -17 58]
 NS 5-4  6.660e-01  [-176 1.572e-09 3.012e-08 1.851e-04]  [4 -18 63]
 NS 5-5s 6.930e-01  [-233 2.063e-12 3.953e-11 7.017e-04]  [3 -17 56]
 NS 6-1  7.450e-01  [0 1.000e+00 2.476e+01 2.129e-04]  [3 -16 29]
 NS 6-2  7.720e-01  [-65 5.405e-04 1.338e-02 4.934e-04]  [3 -18 56]
 NS 6-3  7.970e-01  [-120 9.473e-07 2.345e-05 4.530e-04]  [3 -18 56]
 NS 6-4  8.230e-01  [-175 1.691e-09 4.186e-08 5.737e-04]  [3 -17 54]
 NS 6-5  8.500e-01  [-231 2.765e-12 6.846e-11 8.994e-04]  [3 -18 52]
 NS 7-1  8.760e-01  [0 1.000e+00 3.185e+01 2.738e-04]  [3 -17 58]
 NS 7-2  9.020e-01  [-67 4.315e-04 1.374e-02 7.720e-04]  [3 -17 58]
 NS 7-3  9.280e-01  [-117 1.273e-06 4.057e-05 4.549e-04]  [3 -19 58]
 NS 7-4  9.540e-01  [-171 2.527e-09 8.051e-08 5.399e-04]  [3 -17 58]
 NS 7-5  9.810e-01  [-225 5.142e-12 1.638e-10 7.644e-04]  [3 -17 52]
 NS 8-1  1.002e+00  [0 1.000e+00 3.875e+01 8.852e-04]  [2 -18 48]
 NS 8-2  1.028e+00  [-59 1.034e-03 4.006e-02 6.548e-04]  [3 -20 58]
 NS 8-3  1.055e+00  [-108 3.695e-06 1.432e-04 5.213e-04]  [3 -19 59]
 NS 8-4  1.082e+00  [-160 9.982e-09 3.868e-07 7.715e-04]  [3 -18 59]
 NS 8-5  1.110e+00  [-209 3.167e-11 1.227e-09 6.299e-04]  [3 -19 57]
 NS 9-1  1.136e+00  [0 1.000e+00 4.732e+01 1.928e-04]  [3 -17 58]
 NS 9-2  1.162e+00  [-64 5.908e-04 2.796e-02 4.515e-04]  [3 -16 58]
 NS 9-3  1.188e+00  [-112 2.241e-06 1.060e-04 3.381e-04]  [3 -19 58]
 NS 9-4  1.215e+00  [-162 7.563e-09 3.579e-07 2.742e-04]  [3 -17 56]
 NS 9-5  1.244e+00  [-213 2.116e-11 1.001e-09 3.916e-04]  [3 -16 55]
 NS 10-1  1.266e+00  [0 1.000e+00 5.524e+01 9.400e-04]  [2 -17 45]
 NS 10-2  1.292e+00  [-58 1.162e-03 6.418e-02 6.689e-04]  [3 -19 54]
 NS 10-3  1.318e+00  [-103 6.494e-06 3.587e-04 5.168e-04]  [3 -18 58]
 NS 10-4  1.344e+00  [-151 2.588e-08 1.430e-06 6.619e-04]  [3 -18 58]
 NS 10-5s 1.372e+00  [-198 1.134e-10 6.265e-09 5.321e-04]  [3 -19 57]
 NS 11-1  1.419e+00  [0 1.000e+00 6.408e+01 9.786e-04]  [2 -17 23]
 NS 11-2  1.447e+00  [-58 1.243e-03 7.966e-02 6.593e-04]  [3 -19 57]
 NS 11-3  1.474e+00  [-101 8.280e-06 5.305e-04 4.883e-04]  [3 -18 56]
 NS 11-4  1.501e+00  [-148 3.896e-08 2.496e-06 6.100e-04]  [3 -18 59]
 NS 11-5  1.528e+00  [-194 1.976e-10 1.266e-08 5.025e-04]  [3 -18 56]
 NS 12-1  1.550e+00  [0 1.000e+00 7.258e+01 9.364e-04]  [2 -17 50]
 NS 12-2  1.577e+00  [-57 1.288e-03 9.351e-02 6.138e-04]  [3 -19 56]
 NS 12-3  1.603e+00  [-100 9.695e-06 7.037e-04 4.539e-04]  [3 -18 58]
 NS 12-4  1.629e+00  [-145 5.432e-08 3.943e-06 5.481e-04]  [3 -18 58]
 NS 12-5  1.657e+00  [-189 3.199e-10 2.322e-08 4.587e-04]  [3 -18 57]
 NS 13-1  1.680e+00  [0 1.000e+00 8.145e+01 9.432e-04]  [2 -17 48]
 NS 13-2  1.706e+00  [-57 1.371e-03 1.116e-01 5.881e-04]  [3 -19 58]
 NS 13-3  1.732e+00  [-98 1.170e-05 9.532e-04 4.322e-04]  [3 -18 58]
 NS 13-4  1.757e+00  [-142 7.625e-08 6.210e-06 5.013e-04]  [3 -18 56]
 NS 13-5  1.785e+00  [-185 5.128e-10 4.176e-08 4.216e-04]  [3 -18 50]
 NS 14-1  1.806e+00  [0 1.000e+00 9.015e+01 9.311e-04]  [2 -17 48]
 NS 14-2  1.832e+00  [-56 1.455e-03 1.312e-01 5.574e-04]  [3 -19 58]
 NS 14-3  1.859e+00  [-97 1.384e-05 1.248e-03 4.090e-04]  [3 -18 56]
 NS 14-4  1.885e+00  [-139 1.043e-07 9.403e-06 4.548e-04]  [3 -18 58]
 NS 14-5  1.912e+00  [-182 7.920e-10 7.139e-08 3.957e-04]  [3 -18 56]
 NS 15-1  1.934e+00  [0 1.000e+00 9.892e+01 9.341e-04]  [2 -17 50]
 NS 15-2  1.961e+00  [-56 1.554e-03 1.538e-01 5.341e-04]  [3 -19 56]
 NS 15-3  1.987e+00  [-95 1.643e-05 1.625e-03 3.893e-04]  [3 -18 58]
 NS 15-4  2.013e+00  [-136 1.418e-07 1.403e-05 4.207e-04]  [3 -18 58]
 NS 15-5s 2.041e+00  [-178 1.203e-09 1.190e-07 3.757e-04]  [3 -18 54]
 NS 16-1  2.086e+00  [0 1.000e+00 1.076e+02 9.336e-04]  [2 -17 24]
 NS 16-2  2.112e+00  [-55 1.662e-03 1.787e-01 5.123e-04]  [3 -19 58]
 NS 16-3  2.139e+00  [-94 1.934e-05 2.080e-03 3.762e-04]  [3 -18 56]
 NS 16-4  2.165e+00  [-134 1.896e-07 2.039e-05 3.943e-04]  [3 -17 58]
 NS 16-5  2.192e+00  [-174 1.785e-09 1.920e-07 3.570e-04]  [3 -18 56]
 NS 17-1  2.214e+00  [0 1.000e+00 1.161e+02 9.388e-04]  [2 -17 50]
 NS 17-2  2.240e+00  [-55 1.778e-03 2.065e-01 4.943e-04]  [3 -19 58]
 NS 17-3  2.266e+00  [-92 2.264e-05 2.629e-03 3.663e-04]  [3 -18 58]
 NS 17-4  2.291e+00  [-132 2.494e-07 2.896e-05 3.752e-04]  [3 -17 56]
 NS 17-5  2.317e+00  [-171 2.591e-09 3.010e-07 3.353e-04]  [3 -18 50]
 NS 18-1  2.339e+00  [0 1.000e+00 1.246e+02 9.444e-04]  [2 -17 50]
 NS 18-2  2.365e+00  [-54 1.901e-03 2.368e-01 4.786e-04]  [3 -19 58]
 NS 18-3  2.391e+00  [-91 2.632e-05 3.278e-03 3.591e-04]  [3 -18 54]
 NS 18-4  2.417e+00  [-129 3.229e-07 4.023e-05 3.591e-04]  [3 -17 54]
 NS 18-5  2.444e+00  [-168 3.685e-09 4.591e-07 3.318e-04]  [3 -18 52]
 NS 19-1  2.466e+00  [0 1.000e+00 1.329e+02 9.528e-04]  [2 -17 50]
 NS 19-2  2.493e+00  [-53 2.031e-03 2.698e-01 4.660e-04]  [3 -19 56]
 NS 19-3  2.519e+00  [-90 3.036e-05 4.035e-03 3.542e-04]  [3 -18 58]
 NS 19-4  2.545e+00  [-127 4.117e-07 5.471e-05 3.462e-04]  [3 -17 58]
 NS 19-5  2.572e+00  [-165 5.138e-09 6.828e-07 3.185e-04]  [3 -18 56]
 NS 20-1  2.594e+00  [0 1.000e+00 1.410e+02 9.625e-04]  [2 -17 50]
 NS 20-2  2.620e+00  [-53 2.166e-03 3.054e-01 4.558e-04]  [3 -19 58]
 NS 20-3  2.647e+00  [-89 3.478e-05 4.905e-03 3.512e-04]  [3 -18 56]
 NS 20-4  2.673e+00  [-125 5.178e-07 7.302e-05 3.353e-04]  [3 -17 58]
 NS 20-5s 2.700e+00  [-163 7.052e-09 9.945e-07 3.143e-04]  [3 -18 56]
 NS 21-1  2.745e+00  [0 1.000e+00 1.490e+02 9.741e-04]  [2 -17 24]
 NS 21-2  2.771e+00  [-52 2.305e-03 3.434e-01 4.480e-04]  [3 -18 58]
 NS 21-3  2.797e+00  [-88 3.955e-05 5.893e-03 3.504e-04]  [3 -18 58]
 NS 21-4  2.823e+00  [-123 6.424e-07 9.571e-05 3.251e-04]  [3 -17 58]
 NS 21-5  2.850e+00  [-160 9.515e-09 1.418e-06 3.116e-04]  [3 -18 56]
 NS 22-1  2.872e+00  [0 1.000e+00 1.568e+02 9.872e-04]  [2 -17 50]
 NS 22-2  2.898e+00  [-52 2.448e-03 3.837e-01 4.422e-04]  [3 -18 58]
 NS 22-3  2.924e+00  [-86 4.468e-05 7.004e-03 3.515e-04]  [3 -17 58]
 NS 22-4  2.950e+00  [-122 7.871e-07 1.234e-04 3.171e-04]  [3 -17 58]
 NS 22-5  2.977e+00  [-157 1.266e-08 1.985e-06 3.091e-04]  [3 -18 56]
 NS 23-1  3.002e+00  [0 1.000e+00 1.643e+02 1.828e-04]  [3 -17 56]
 NS 23-2  3.028e+00  [-52 2.404e-03 3.951e-01 1.964e-04]  [3 -18 54]
 NS 23-3  3.054e+00  [-87 4.288e-05 7.046e-03 2.883e-04]  [3 -17 58]
 NS 23-4  3.081e+00  [-121 8.479e-07 1.393e-04 1.976e-04]  [3 -17 56]
 NS 23-5  3.108e+00  [-157 1.373e-08 2.257e-06 2.315e-04]  [3 -17 56]
 NS 24-1  3.134e+00  [0 1.000e+00 1.717e+02 1.867e-04]  [3 -17 58]
 NS 24-2  3.161e+00  [-51 2.558e-03 4.391e-01 1.968e-04]  [3 -18 59]
 NS 24-3  3.188e+00  [-86 4.832e-05 8.295e-03 2.961e-04]  [3 -17 56]
 NS 24-4  3.214e+00  [-119 1.025e-06 1.759e-04 1.924e-04]  [3 -17 58]
 NS 24-5  3.241e+00  [-154 1.799e-08 3.089e-06 2.344e-04]  [3 -17 56]
 NS 25-1  3.267e+00  [0 1.000e+00 1.788e+02 1.909e-04]  [3 -17 58]
 NS 25-2  3.293e+00  [-51 2.712e-03 4.849e-01 1.982e-04]  [3 -18 58]
 NS 25-3  3.319e+00  [-85 5.396e-05 9.649e-03 3.046e-04]  [3 -17 58]
 NS 25-4  3.345e+00  [-118 1.224e-06 2.188e-04 1.940e-04]  [3 -17 58]
 NS 25-5s 3.372e+00  [-152 2.320e-08 4.149e-06 2.391e-04]  [3 -17 56]
 NS 26-1  3.421e+00  [0 1.000e+00 1.857e+02 1.954e-04]  [3 -17 31]
 NS 26-2  3.447e+00  [-50 2.867e-03 5.324e-01 2.002e-04]  [3 -17 58]
 NS 26-3  3.473e+00  [-84 5.984e-05 1.111e-02 3.135e-04]  [3 -17 58]
 NS 26-4  3.499e+00  [-116 1.443e-06 2.679e-04 1.961e-04]  [3 -17 58]
 NS 26-5  3.526e+00  [-150 2.939e-08 5.457e-06 2.452e-04]  [3 -17 56]
 NS 27-1  3.552e+00  [0 1.000e+00 1.923e+02 2.001e-04]  [3 -17 58]
 NS 27-2  3.579e+00  [-50 3.023e-03 5.815e-01 2.029e-04]  [3 -17 56]
 NS 27-3  3.605e+00  [-83 6.593e-05 1.268e-02 3.235e-04]  [3 -17 58]
 NS 27-4  3.631e+00  [-115 1.682e-06 3.234e-04 1.986e-04]  [3 -17 58]
 NS 27-5  3.659e+00  [-148 3.665e-08 7.048e-06 2.526e-04]  [3 -17 54]
 NS 28-1  3.686e+00  [0 1.000e+00 1.987e+02 2.052e-04]  [3 -17 56]
 NS 28-2  3.712e+00  [-49 3.181e-03 6.321e-01 2.063e-04]  [3 -17 58]
 NS 28-3  3.739e+00  [-82 7.221e-05 1.435e-02 3.342e-04]  [3 -17 56]
 NS 28-4  3.766e+00  [-114 1.938e-06 3.852e-04 2.021e-04]  [3 -17 59]
 NS 28-5  3.793e+00  [-146 4.490e-08 8.922e-06 2.619e-04]  [3 -17 56]
 NS 29-1  3.819e+00  [0 1.000e+00 2.049e+02 2.106e-04]  [3 -17 58]
 NS 29-2  3.845e+00  [-49 3.340e-03 6.842e-01 2.103e-04]  [3 -17 58]
 NS 29-3  3.871e+00  [-82 7.874e-05 1.613e-02 3.448e-04]  [3 -16 54]
 NS 29-4  3.898e+00  [-113 2.215e-06 4.538e-04 2.064e-04]  [3 -17 56]
 NS 29-5  3.924e+00  [-145 5.444e-08 1.115e-05 3.029e-04]  [3 -16 54]
 NS 30-1  3.950e+00  [0 1.000e+00 2.107e+02 2.163e-04]  [3 -17 58]
 NS 30-2  3.977e+00  [-49 3.501e-03 7.378e-01 2.149e-04]  [3 -17 56]
 NS 30-3  4.003e+00  [-81 8.551e-05 1.802e-02 3.552e-04]  [3 -16 58]
 NS 30-4  4.029e+00  [-111 2.517e-06 5.305e-04 2.110e-04]  [3 -17 58]
 NS 30-5s 4.056e+00  [-143 6.590e-08 1.389e-05 3.033e-04]  [3 -17 56]
 NS 31-1  4.105e+00  [0 1.000e+00 2.163e+02 2.224e-04]  [3 -17 31]
 NS 31-2  4.131e+00  [-48 3.664e-03 7.927e-01 2.201e-04]  [3 -17 58]
 NS 31-3  4.157e+00  [-80 9.254e-05 2.002e-02 3.650e-04]  [3 -16 58]
 NS 31-4  4.184e+00  [-110 2.844e-06 6.152e-04 2.158e-04]  [3 -17 56]
 NS 31-5  4.210e+00  [-142 7.885e-08 1.706e-05 3.028e-04]  [3 -17 54]
 NS 32-1  4.236e+00  [0 1.000e+00 2.217e+02 2.286e-04]  [3 -17 58]
 NS 32-2  4.263e+00  [-48 3.830e-03 8.490e-01 2.257e-04]  [3 -17 59]
 NS 32-3  4.289e+00  [-80 9.989e-05 2.214e-02 3.741e-04]  [3 -16 58]
 NS 32-4  4.315e+00  [-109 3.196e-06 7.085e-04 2.210e-04]  [3 -17 58]
 NS 32-5  4.341e+00  [-140 9.365e-08 2.076e-05 3.046e-04]  [3 -17 54]
 NS 33-1  4.368e+00  [0 1.000e+00 2.267e+02 2.352e-04]  [3 -16 56]
 NS 33-2  4.394e+00  [-47 4.001e-03 9.069e-01 2.314e-04]  [3 -17 54]
 NS 33-3  4.420e+00  [-79 1.077e-04 2.441e-02 3.822e-04]  [3 -16 54]
 NS 33-4  4.447e+00  [-108 3.579e-06 8.113e-04 2.271e-04]  [3 -17 56]
 NS 33-5  4.474e+00  [-139 1.105e-07 2.505e-05 3.138e-04]  [3 -17 48]
 NS 34-1  4.499e+00  [0 1.000e+00 2.315e+02 2.420e-04]  [3 -16 56]
 NS 34-2  4.525e+00  [-47 4.176e-03 9.665e-01 2.374e-04]  [3 -17 58]
 NS 34-3  4.552e+00  [-78 1.159e-04 2.682e-02 3.895e-04]  [3 -16 59]
 NS 34-4  4.578e+00  [-107 3.994e-06 9.244e-04 2.353e-04]  [3 -17 58]
 NS 34-5  4.604e+00  [-137 1.296e-07 3.000e-05 3.318e-04]  [3 -17 54]
 NS 35-1  4.630e+00  [0 1.000e+00 2.359e+02 2.492e-04]  [3 -16 58]
 NS 35-2  4.656e+00  [-47 4.357e-03 1.028e+00 2.436e-04]  [3 -17 58]
 NS 35-3  4.682e+00  [-78 1.246e-04 2.940e-02 3.961e-04]  [3 -16 58]
 NS 35-4  4.711e+00  [-107 4.435e-06 1.046e-03 2.451e-04]  [3 -17 59]
 NS 35-5s 4.739e+00  [-136 1.515e-07 3.574e-05 3.900e-04]  [3 -16 54]
 NS 36-1  4.790e+00  [0 1.000e+00 2.401e+02 2.566e-04]  [3 -16 31]
 NS 36-2  4.816e+00  [-46 4.544e-03 1.091e+00 2.520e-04]  [3 -17 58]
 NS 36-3  4.842e+00  [-77 1.342e-04 3.221e-02 4.038e-04]  [3 -16 58]
 NS 36-4  4.868e+00  [-106 4.918e-06 1.181e-03 2.554e-04]  [3 -17 58]
 NS 36-5  4.896e+00  [-135 1.770e-07 4.249e-05 3.692e-04]  [3 -17 50]
 NS 37-1  4.921e+00  [0 1.000e+00 2.440e+02 2.641e-04]  [3 -16 56]
 NS 37-2  4.948e+00  [-46 4.737e-03 1.156e+00 2.546e-04]  [3 -17 56]
 NS 37-3  4.975e+00  [-76 1.443e-04 3.522e-02 4.084e-04]  [3 -16 59]
