---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  1.660e-01  [0 1.000e+00 1.000e+00 2.678e-04]  [5 -17 72]
 NS 1-2  2.890e-01  [-19 1.044e-01 1.044e-01 6.769e-04]  [3 -18 62]
 NS 1-3  4.100e-01  [-48 3.635e-03 3.635e-03 4.862e-04]  [3 -17 61]
 NS 1-4  5.270e-01  [-80 9.566e-05 9.566e-05 7.009e-04]  [3 -17 59]
 NS 1-5s 6.490e-01  [-111 2.699e-06 2.699e-06 5.499e-04]  [3 -17 57]
 NS 2-1  8.910e-01  [0 1.000e+00 1.633e+01 9.602e-04]  [3 -17 33]
 NS 2-2  1.011e+00  [-39 1.066e-02 1.741e-01 3.767e-04]  [3 -16 61]
 NS 2-3  1.130e+00  [-71 2.561e-04 4.183e-03 4.874e-04]  [3 -16 60]
 NS 2-4  1.247e+00  [-101 8.070e-06 1.318e-04 2.289e-04]  [3 -17 59]
 NS 2-5s 1.367e+00  [-135 1.606e-07 2.624e-06 3.159e-04]  [3 -16 57]
 NS 3-1  1.600e+00  [0 1.000e+00 1.927e+01 5.509e-04]  [3 -18 36]
 NS 3-2  1.709e+00  [-42 7.485e-03 1.442e-01 9.178e-04]  [2 -17 52]
 NS 3-3  1.831e+00  [-75 1.697e-04 3.271e-03 6.364e-04]  [3 -18 61]
 NS 3-4  1.950e+00  [-104 5.694e-06 1.097e-04 2.512e-04]  [3 -16 60]
 NS 3-5s 2.070e+00  [-140 9.395e-08 1.811e-06 3.547e-04]  [3 -16 55]
 NS 4-1  2.300e+00  [0 1.000e+00 1.569e+01 6.907e-04]  [3 -18 35]
 NS 4-2  2.421e+00  [-41 8.893e-03 1.396e-01 5.260e-04]  [3 -17 60]
 NS 4-3  2.541e+00  [-74 1.929e-04 3.027e-03 4.471e-04]  [3 -17 60]
 NS 4-4  2.661e+00  [-105 5.290e-06 8.301e-05 2.647e-04]  [3 -17 60]
 NS 4-5s 2.785e+00  [-139 1.049e-07 1.646e-06 2.584e-04]  [3 -17 59]
 NS 5-1  3.009e+00  [0 1.000e+00 1.159e+01 7.047e-04]  [3 -17 33]
 NS 5-2  3.130e+00  [-42 7.778e-03 9.015e-02 2.507e-04]  [3 -17 60]
 NS 5-3  3.250e+00  [-75 1.648e-04 1.910e-03 7.101e-04]  [3 -17 60]
 NS 5-4  3.373e+00  [-104 6.116e-06 7.088e-05 2.602e-04]  [3 -16 60]
 NS 5-5s 3.499e+00  [-139 1.117e-07 1.295e-06 3.114e-04]  [3 -16 58]
 NS 6-1  3.723e+00  [0 1.000e+00 7.327e+00 7.034e-04]  [3 -18 34]
 NS 6-2  3.844e+00  [-40 9.673e-03 7.087e-02 6.500e-04]  [3 -17 60]
 NS 6-3  3.967e+00  [-73 2.142e-04 1.569e-03 4.263e-04]  [3 -18 60]
 NS 6-4  4.088e+00  [-104 6.094e-06 4.465e-05 3.146e-04]  [3 -16 60]
 NS 6-5s 4.215e+00  [-137 1.285e-07 9.414e-07 2.691e-04]  [3 -17 58]
 NS 7-1  4.437e+00  [0 1.000e+00 4.604e+00 9.497e-04]  [3 -17 34]
 NS 7-2  4.558e+00  [-41 8.486e-03 3.908e-02 3.278e-04]  [3 -17 61]
 NS 7-3  4.675e+00  [-74 1.908e-04 8.785e-04 7.378e-04]  [3 -15 59]
 NS 7-4  4.795e+00  [-104 6.277e-06 2.890e-05 3.391e-04]  [3 -16 61]
 NS 7-5s 4.919e+00  [-137 1.261e-07 5.804e-07 3.355e-04]  [3 -16 59]
 NS 8-1  5.140e+00  [0 1.000e+00 2.478e+00 6.695e-04]  [3 -18 33]
 NS 8-2  5.260e+00  [-39 1.070e-02 2.652e-02 7.675e-04]  [3 -17 60]
 NS 8-3  5.381e+00  [-72 2.389e-04 5.921e-04 4.762e-04]  [3 -17 60]
 NS 8-4  5.504e+00  [-102 7.702e-06 1.909e-05 4.018e-04]  [3 -16 61]
 NS 8-5s 5.628e+00  [-135 1.615e-07 4.003e-07 3.398e-04]  [3 -16 57]
 NS 9-1  5.863e+00  [0 1.000e+00 1.555e+00 2.413e-04]  [4 -16 38]
 NS 9-2  5.980e+00  [-41 8.672e-03 1.348e-02 2.494e-04]  [3 -18 60]
 NS 9-3  6.104e+00  [-74 1.855e-04 2.884e-04 6.012e-04]  [3 -15 59]
 NS 9-4  6.224e+00  [-105 5.334e-06 8.293e-06 3.166e-04]  [3 -16 61]
 NS 9-5s 6.343e+00  [-138 1.159e-07 1.802e-07 2.532e-04]  [3 -17 56]
 NS 10-1  6.565e+00  [0 1.000e+00 7.260e-01 6.960e-04]  [3 -16 34]
 NS 10-2  6.685e+00  [-38 1.137e-02 8.252e-03 8.556e-04]  [3 -17 60]
 NS 10-3  6.805e+00  [-71 2.583e-04 1.875e-04 5.616e-04]  [3 -16 61]
 NS 10-4  6.924e+00  [-102 7.896e-06 5.732e-06 5.056e-04]  [3 -16 61]
 NS 10-5s 7.049e+00  [-135 1.747e-07 1.268e-07 4.574e-04]  [3 -16 58]
 NS 11-1  7.288e+00  [0 1.000e+00 6.352e-01 2.593e-04]  [4 -16 39]
 NS 11-2  7.408e+00  [-41 8.219e-03 5.221e-03 3.810e-04]  [3 -16 61]
 NS 11-3  7.530e+00  [-76 1.525e-04 9.688e-05 5.128e-04]  [3 -15 61]
 NS 11-4  7.643e+00  [-108 3.693e-06 2.346e-06 3.567e-04]  [3 -16 58]
 NS 11-5s 7.769e+00  [-140 9.107e-08 5.785e-08 3.239e-04]  [3 -16 58]
 NS 12-1  7.993e+00  [0 1.000e+00 3.583e-01 7.976e-04]  [3 -16 33]
 NS 12-2  8.132e+00  [-43 7.004e-03 2.510e-03 2.065e-04]  [4 -17 65]
 NS 12-3  8.260e+00  [-75 1.593e-04 5.706e-05 5.830e-04]  [3 -16 63]
 NS 12-4  8.388e+00  [-107 4.216e-06 1.511e-06 5.694e-04]  [3 -16 62]
 NS 12-5s 8.517e+00  [-140 9.942e-08 3.562e-08 5.734e-04]  [3 -16 60]
 NS 13-1  8.746e+00  [0 1.000e+00 4.171e-01 9.490e-04]  [3 -15 33]
 NS 13-2  8.867e+00  [-45 5.577e-03 2.326e-03 9.371e-04]  [3 -16 61]
 NS 13-3  8.990e+00  [-79 1.039e-04 4.331e-05 5.863e-04]  [3 -15 61]
 NS 13-4  9.116e+00  [-111 2.681e-06 1.118e-06 4.940e-04]  [3 -17 60]
 NS 13-5s 9.239e+00  [-141 8.499e-08 3.545e-08 6.199e-04]  [3 -17 58]
 NS 14-1  9.460e+00  [0 1.000e+00 3.265e-01 5.598e-04]  [3 -16 33]
 NS 14-2  9.599e+00  [-50 2.947e-03 9.620e-04 2.497e-04]  [4 -16 66]
 NS 14-3  9.722e+00  [-83 6.861e-05 2.240e-05 7.272e-04]  [3 -16 62]
 NS 14-4  9.847e+00  [-115 1.647e-06 5.376e-07 5.265e-04]  [3 -15 60]
 NS 14-5s 9.976e+00  [-147 4.006e-08 1.308e-08 5.374e-04]  [3 -16 58]
 NS 15-1  1.020e+01  [0 1.000e+00 3.435e-01 6.833e-04]  [3 -16 34]
 NS 15-2  1.034e+01  [-48 3.708e-03 1.274e-03 2.035e-04]  [4 -17 67]
 NS 15-3  1.046e+01  [-82 7.085e-05 2.434e-05 6.423e-04]  [3 -16 60]
 NS 15-4  1.058e+01  [-114 1.877e-06 6.446e-07 4.991e-04]  [3 -17 60]
 NS 15-5s 1.071e+01  [-144 6.031e-08 2.072e-08 6.034e-04]  [3 -17 58]
 NS 16-1  1.092e+01  [0 1.000e+00 3.047e-01 5.141e-04]  [3 -17 31]
 NS 16-2  1.104e+01  [-50 2.864e-03 8.725e-04 5.903e-04]  [3 -18 61]
 NS 16-3  1.117e+01  [-84 5.721e-05 1.743e-05 3.825e-04]  [3 -16 60]
 NS 16-4  1.129e+01  [-118 1.253e-06 3.818e-07 2.569e-04]  [3 -16 60]
 NS 16-5s 1.141e+01  [-150 3.039e-08 9.258e-09 3.171e-04]  [3 -17 56]
 NS 17-1  1.163e+01  [0 1.000e+00 2.999e-01 5.980e-04]  [3 -16 33]
 NS 17-2  1.175e+01  [-49 3.194e-03 9.578e-04 9.437e-04]  [3 -17 60]
 NS 17-3  1.187e+01  [-84 6.207e-05 1.861e-05 5.418e-04]  [3 -16 60]
 NS 17-4  1.199e+01  [-116 1.469e-06 4.405e-07 4.404e-04]  [3 -17 61]
 NS 17-5s 1.211e+01  [-147 4.195e-08 1.258e-08 5.879e-04]  [3 -17 58]
 NS 18-1  1.233e+01  [0 1.000e+00 2.777e-01 5.347e-04]  [3 -17 33]
 NS 18-2  1.245e+01  [-50 3.043e-03 8.449e-04 6.881e-04]  [3 -18 61]
 NS 18-3  1.256e+01  [-84 5.876e-05 1.632e-05 4.188e-04]  [3 -16 58]
 NS 18-4  1.267e+01  [-117 1.265e-06 3.512e-07 3.048e-04]  [3 -17 57]
 NS 18-5s 1.280e+01  [-149 3.198e-08 8.879e-09 4.622e-04]  [3 -17 58]
 NS 19-1  1.302e+01  [0 1.000e+00 2.666e-01 5.708e-04]  [3 -16 33]
 NS 19-2  1.314e+01  [-49 3.185e-03 8.490e-04 8.454e-04]  [3 -17 61]
 NS 19-3  1.326e+01  [-84 6.127e-05 1.633e-05 4.799e-04]  [3 -17 59]
 NS 19-4  1.338e+01  [-117 1.362e-06 3.630e-07 3.929e-04]  [3 -17 60]
 NS 19-5s 1.350e+01  [-148 3.717e-08 9.908e-09 5.575e-04]  [3 -17 58]
 NS 20-1  1.372e+01  [0 1.000e+00 2.506e-01 5.471e-04]  [3 -16 32]
 NS 20-2  1.384e+01  [-49 3.208e-03 8.039e-04 7.503e-04]  [3 -17 61]
 NS 20-3  1.395e+01  [-84 6.079e-05 1.523e-05 4.123e-04]  [3 -17 59]
 NS 20-4  1.407e+01  [-117 1.306e-06 3.274e-07 3.361e-04]  [3 -17 59]
 NS 20-5s 1.419e+01  [-149 3.390e-08 8.494e-09 5.121e-04]  [3 -17 56]
 NS 21-1  1.442e+01  [0 1.000e+00 2.385e-01 5.599e-04]  [3 -16 33]
 NS 21-2  1.454e+01  [-49 3.306e-03 7.885e-04 8.033e-04]  [3 -17 61]
 NS 21-3  1.466e+01  [-84 6.212e-05 1.482e-05 4.296e-04]  [3 -17 57]
 NS 21-4  1.477e+01  [-117 1.356e-06 3.234e-07 3.654e-04]  [3 -17 55]
 NS 21-5s 1.490e+01  [-148 3.605e-08 8.597e-09 5.403e-04]  [3 -17 59]
 NS 22-1  1.512e+01  [0 1.000e+00 2.254e-01 5.509e-04]  [3 -16 33]
 NS 22-2  1.524e+01  [-49 3.369e-03 7.594e-04 7.708e-04]  [3 -17 61]
 NS 22-3  1.536e+01  [-84 6.219e-05 1.402e-05 4.147e-04]  [3 -17 59]
 NS 22-4  1.548e+01  [-117 1.349e-06 3.041e-07 3.472e-04]  [3 -17 61]
 NS 22-5s 1.561e+01  [-149 3.519e-08 7.932e-09 5.260e-04]  [3 -17 60]
 NS 23-1  1.583e+01  [0 1.000e+00 2.139e-01 5.549e-04]  [3 -16 32]
 NS 23-2  1.595e+01  [-49 3.454e-03 7.390e-04 7.844e-04]  [3 -17 61]
 NS 23-3  1.608e+01  [-84 6.295e-05 1.347e-05 4.208e-04]  [3 -17 59]
 NS 23-4  1.619e+01  [-117 1.376e-06 2.943e-07 3.527e-04]  [3 -17 58]
 NS 23-5s 1.631e+01  [-148 3.608e-08 7.718e-09 5.367e-04]  [3 -17 58]
 NS 24-1  1.653e+01  [0 1.000e+00 2.026e-01 5.511e-04]  [3 -16 32]
 NS 24-2  1.666e+01  [-49 3.530e-03 7.152e-04 7.707e-04]  [3 -17 60]
 NS 24-3  1.678e+01  [-83 6.334e-05 1.283e-05 4.203e-04]  [3 -17 59]
 NS 24-4  1.689e+01  [-117 1.378e-06 2.792e-07 3.444e-04]  [3 -17 59]
 NS 24-5s 1.702e+01  [-148 3.574e-08 7.241e-09 5.338e-04]  [3 -17 58]
 NS 25-1  1.725e+01  [0 1.000e+00 1.921e-01 5.518e-04]  [3 -16 33]
 NS 25-2  1.738e+01  [-48 3.617e-03 6.950e-04 7.692e-04]  [3 -16 60]
 NS 25-3  1.749e+01  [-83 6.402e-05 1.230e-05 4.264e-04]  [3 -17 60]
 NS 25-4  1.761e+01  [-117 1.391e-06 2.673e-07 3.466e-04]  [3 -17 58]
 NS 25-5s 1.773e+01  [-148 3.599e-08 6.915e-09 5.394e-04]  [3 -17 58]
 NS 26-1  1.795e+01  [0 1.000e+00 1.821e-01 5.497e-04]  [3 -16 32]
 NS 26-2  1.808e+01  [-48 3.706e-03 6.748e-04 7.579e-04]  [3 -16 61]
 NS 26-3  1.820e+01  [-83 6.478e-05 1.179e-05 4.147e-04]  [3 -17 60]
 NS 26-4  1.831e+01  [-117 1.403e-06 2.555e-07 3.496e-04]  [3 -17 59]
 NS 26-5s 1.844e+01  [-148 3.611e-08 6.575e-09 5.350e-04]  [3 -17 58]
 NS 27-1  1.866e+01  [0 1.000e+00 1.727e-01 5.491e-04]  [3 -16 33]
 NS 27-2  1.878e+01  [-48 3.803e-03 6.565e-04 7.499e-04]  [3 -16 60]
 NS 27-3  1.890e+01  [-83 6.577e-05 1.136e-05 4.144e-04]  [3 -17 61]
 NS 27-4  1.902e+01  [-116 1.422e-06 2.454e-07 3.478e-04]  [3 -17 60]
 NS 27-5s 1.914e+01  [-148 3.636e-08 6.277e-09 5.352e-04]  [3 -17 58]
 NS 28-1  1.936e+01  [0 1.000e+00 1.637e-01 5.476e-04]  [3 -16 33]
 NS 28-2  1.949e+01  [-48 3.904e-03 6.391e-04 7.381e-04]  [3 -16 61]
 NS 28-3  1.961e+01  [-83 6.686e-05 1.094e-05 4.117e-04]  [3 -17 60]
 NS 28-4  1.973e+01  [-116 1.442e-06 2.361e-07 3.430e-04]  [3 -17 59]
 NS 28-5s 1.985e+01  [-148 3.661e-08 5.993e-09 5.310e-04]  [3 -17 57]
 NS 29-1  2.008e+01  [0 1.000e+00 1.553e-01 5.465e-04]  [3 -16 33]
 NS 29-2  2.020e+01  [-47 4.009e-03 6.225e-04 7.262e-04]  [3 -16 61]
 NS 29-3  2.032e+01  [-83 6.807e-05 1.057e-05 4.070e-04]  [3 -17 58]
 NS 29-4  2.044e+01  [-116 1.469e-06 2.281e-07 3.400e-04]  [3 -17 62]
 NS 29-5s 2.056e+01  [-148 3.707e-08 5.755e-09 5.248e-04]  [3 -17 58]
 NS 30-1  2.079e+01  [0 1.000e+00 1.473e-01 5.450e-04]  [3 -16 33]
 NS 30-2  2.091e+01  [-47 4.117e-03 6.064e-04 7.139e-04]  [3 -16 61]
 NS 30-3  2.102e+01  [-83 6.919e-05 1.019e-05 4.066e-04]  [3 -17 57]
 NS 30-4  2.114e+01  [-116 1.492e-06 2.197e-07 3.345e-04]  [3 -17 60]
 NS 30-5s 2.127e+01  [-148 3.745e-08 5.516e-09 5.188e-04]  [3 -17 55]
 NS 31-1  2.149e+01  [0 1.000e+00 1.397e-01 5.436e-04]  [3 -16 33]
 NS 31-2  2.161e+01  [-47 4.233e-03 5.914e-04 7.014e-04]  [3 -16 61]
 NS 31-3  2.172e+01  [-83 7.045e-05 9.843e-06 4.074e-04]  [3 -17 56]
 NS 31-4  2.183e+01  [-116 1.513e-06 2.114e-07 3.345e-04]  [3 -17 60]
 NS 31-5s 2.196e+01  [-148 3.782e-08 5.284e-09 5.130e-04]  [3 -17 57]
 NS 32-1  2.218e+01  [0 1.000e+00 1.326e-01 5.420e-04]  [3 -16 32]
 NS 32-2  2.230e+01  [-47 4.357e-03 5.777e-04 6.886e-04]  [3 -16 61]
 NS 32-3  2.241e+01  [-82 7.191e-05 9.534e-06 4.141e-04]  [3 -17 58]
 NS 32-4  2.252e+01  [-116 1.535e-06 2.036e-07 3.254e-04]  [3 -17 57]
 NS 32-5s 2.265e+01  [-148 3.812e-08 5.053e-09 5.112e-04]  [3 -17 57]
 NS 33-1  2.287e+01  [0 1.000e+00 1.258e-01 5.403e-04]  [3 -16 32]
 NS 33-2  2.299e+01  [-46 4.493e-03 5.653e-04 6.747e-04]  [3 -16 60]
 NS 33-3  2.311e+01  [-82 7.350e-05 9.249e-06 4.252e-04]  [3 -16 58]
 NS 33-4  2.323e+01  [-116 1.558e-06 1.961e-07 3.425e-04]  [3 -16 58]
 NS 33-5s 2.335e+01  [-148 3.837e-08 4.828e-09 5.050e-04]  [3 -17 57]
 NS 34-1  2.357e+01  [0 1.000e+00 1.195e-01 5.385e-04]  [3 -16 32]
 NS 34-2  2.370e+01  [-46 4.638e-03 5.540e-04 6.601e-04]  [3 -16 61]
 NS 34-3  2.381e+01  [-82 7.533e-05 8.999e-06 4.417e-04]  [3 -16 57]
 NS 34-4  2.392e+01  [-116 1.585e-06 1.893e-07 3.261e-04]  [3 -17 57]
 NS 34-5s 2.405e+01  [-148 3.868e-08 4.620e-09 5.001e-04]  [3 -17 58]
 NS 35-1  2.428e+01  [0 1.000e+00 1.134e-01 5.367e-04]  [3 -16 32]
 NS 35-2  2.441e+01  [-46 4.789e-03 5.432e-04 6.458e-04]  [3 -16 60]
 NS 35-3  2.453e+01  [-82 7.743e-05 8.782e-06 3.972e-04]  [3 -17 59]
 NS 35-4  2.465e+01  [-115 1.618e-06 1.835e-07 3.312e-04]  [3 -16 60]
 NS 35-5s 2.478e+01  [-148 3.933e-08 4.461e-09 5.005e-04]  [3 -17 57]
 NS 36-1  2.500e+01  [0 1.000e+00 1.077e-01 5.346e-04]  [3 -16 33]
 NS 36-2  2.513e+01  [-46 4.947e-03 5.329e-04 6.319e-04]  [3 -16 61]
 NS 36-3  2.525e+01  [-81 7.966e-05 8.582e-06 3.929e-04]  [3 -17 59]
 NS 36-4  2.536e+01  [-115 1.652e-06 1.780e-07 3.342e-04]  [3 -16 58]
 NS 36-5s 2.548e+01  [-147 3.988e-08 4.297e-09 4.970e-04]  [3 -17 58]
 NS 37-1  2.571e+01  [0 1.000e+00 1.023e-01 5.325e-04]  [3 -16 33]
 NS 37-2  2.584e+01  [-45 5.108e-03 5.227e-04 6.185e-04]  [3 -16 62]
 NS 37-3  2.596e+01  [-81 8.204e-05 8.396e-06 3.890e-04]  [3 -17 59]
 NS 37-4  2.608e+01  [-115 1.689e-06 1.729e-07 3.147e-04]  [3 -17 60]
 NS 37-5s 2.620e+01  [-147 4.060e-08 4.155e-09 4.783e-04]  [3 -17 58]
 NS 38-1  2.643e+01  [0 1.000e+00 9.725e-02 5.302e-04]  [3 -16 34]
 NS 38-2  2.655e+01  [-45 5.271e-03 5.126e-04 6.057e-04]  [3 -16 61]
 NS 38-3  2.667e+01  [-81 8.450e-05 8.218e-06 3.848e-04]  [3 -17 59]
 NS 38-4  2.678e+01  [-115 1.729e-06 1.682e-07 3.037e-04]  [3 -17 57]
 NS 38-5s 2.690e+01  [-147 4.147e-08 4.033e-09 4.795e-04]  [3 -17 57]
 NS 39-1  2.712e+01  [0 1.000e+00 9.245e-02 5.278e-04]  [3 -16 33]
 NS 39-2  2.724e+01  [-45 5.435e-03 5.025e-04 5.936e-04]  [3 -16 61]
 NS 39-3  2.736e+01  [-81 8.684e-05 8.028e-06 3.813e-04]  [3 -17 59]
 NS 39-4  2.748e+01  [-115 1.771e-06 1.637e-07 2.936e-04]  [3 -17 59]
 NS 39-5s 2.760e+01  [-147 4.242e-08 3.921e-09 4.757e-04]  [3 -17 56]
 NS 40-1  2.782e+01  [0 1.000e+00 8.791e-02 5.252e-04]  [3 -16 33]
 NS 40-2  2.794e+01  [-45 5.599e-03 4.922e-04 5.825e-04]  [3 -16 61]
