---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  9.600e-01  [0 1.000e+00 1.000e+00 2.810e-04]  [5 -17 79]
 NS 1-2  1.964e+00  [-68 3.962e-04 3.962e-04 1.951e-04]  [4 -17 79]
 NS 1-3  2.999e+00  [-141 8.717e-08 8.717e-08 3.033e-04]  [4 -16 80]
 NS 1-4  4.037e+00  [-210 2.846e-11 2.846e-11 3.037e-04]  [4 -16 82]
 NS 1-5  4.720e+00  [-250 3.084e-13 3.084e-13 2.128e-04]  [3 -17 72]
 NS 2-1  5.417e+00  [0 1.000e+00 3.472e+01 9.828e-04]  [2 -16 73]
 NS 2-2  6.504e+00  [-60 9.838e-04 3.416e-02 2.448e-04]  [4 -18 83]
 NS 2-3  7.541e+00  [-131 2.783e-07 9.663e-06 2.077e-04]  [4 -17 83]
 NS 2-4  8.559e+00  [-203 6.372e-11 2.212e-09 2.692e-04]  [4 -16 81]
 NS 2-5s 9.409e+00  [-274 1.905e-14 6.615e-13 2.910e-04]  [4 -16 74]
 NS 3-1  1.060e+01  [0 1.000e+00 3.461e+01 3.960e-04]  [3 -17 55]
 NS 3-2  1.159e+01  [-68 3.973e-04 1.375e-02 2.145e-04]  [4 -17 80]
 NS 3-3  1.252e+01  [-138 1.150e-07 3.978e-06 2.323e-04]  [4 -17 79]
 NS 3-4  1.352e+01  [-209 3.312e-11 1.146e-09 2.842e-04]  [4 -16 80]
 NS 3-5  1.431e+01  [-274 1.952e-14 6.756e-13 9.792e-04]  [3 -16 72]
 NS 4-1  1.499e+01  [0 1.000e+00 4.141e+01 8.806e-04]  [2 -19 69]
 NS 4-2  1.601e+01  [-61 8.809e-04 3.648e-02 2.804e-04]  [4 -18 81]
 NS 4-3  1.701e+01  [-129 3.421e-07 1.417e-05 1.977e-04]  [4 -18 79]
 NS 4-4  1.783e+01  [-199 1.092e-10 4.522e-09 2.199e-04]  [4 -16 76]
 NS 4-5s 1.878e+01  [-267 4.374e-14 1.812e-12 2.361e-04]  [4 -16 77]
 NS 5-1  1.998e+01  [0 1.000e+00 4.936e+01 2.373e-04]  [3 -17 56]
 NS 5-2  2.089e+01  [-72 2.380e-04 1.175e-02 2.409e-04]  [4 -18 79]
 NS 5-3  2.176e+01  [-137 1.268e-07 6.261e-06 8.763e-04]  [3 -17 77]
 NS 5-4  2.279e+01  [-198 1.166e-10 5.755e-09 2.719e-04]  [4 -17 81]
 NS 5-5  2.356e+01  [-261 8.335e-14 4.115e-12 9.575e-04]  [3 -17 73]
 NS 6-1  2.419e+01  [0 1.000e+00 6.319e+01 6.011e-04]  [2 -15 68]
 NS 6-2  2.517e+01  [-64 6.031e-04 3.811e-02 2.593e-04]  [4 -16 79]
 NS 6-3  2.587e+01  [-124 6.008e-07 3.796e-05 6.293e-04]  [3 -18 71]
 NS 6-4  2.682e+01  [-186 4.492e-10 2.838e-08 2.636e-04]  [4 -17 82]
 NS 6-5s 2.777e+01  [-248 3.892e-13 2.460e-11 8.584e-04]  [3 -16 77]
 NS 7-1  2.869e+01  [0 1.000e+00 8.123e+01 6.353e-04]  [2 -15 40]
 NS 7-2  2.965e+01  [-63 6.352e-04 5.160e-02 2.488e-04]  [4 -17 80]
 NS 7-3  3.048e+01  [-122 7.189e-07 5.840e-05 6.163e-04]  [3 -18 76]
 NS 7-4  3.162e+01  [-184 5.750e-10 4.671e-08 2.040e-04]  [4 -18 83]
 NS 7-5  3.249e+01  [-244 5.693e-13 4.625e-11 8.127e-04]  [3 -16 77]
 NS 8-1  3.318e+01  [0 1.000e+00 1.002e+02 3.112e-04]  [2 -18 72]
 NS 8-2  3.414e+01  [-70 3.134e-04 3.139e-02 2.388e-04]  [4 -17 81]
 NS 8-3  3.494e+01  [-128 3.695e-07 3.701e-05 5.721e-04]  [3 -17 79]
 NS 8-4  3.598e+01  [-189 3.510e-10 3.516e-08 1.829e-04]  [4 -18 82]
 NS 8-5s 3.683e+01  [-247 3.987e-13 3.993e-11 7.065e-04]  [3 -16 76]
 NS 9-1  3.765e+01  [0 1.000e+00 1.217e+02 3.880e-04]  [2 -17 41]
 NS 9-2  3.844e+01  [-68 3.887e-04 4.730e-02 2.536e-04]  [4 -17 77]
 NS 9-3  3.928e+01  [-124 5.710e-07 6.949e-05 6.606e-04]  [3 -18 78]
 NS 9-4  4.026e+01  [-184 6.237e-10 7.590e-08 1.680e-04]  [4 -18 80]
 NS 9-5  4.115e+01  [-241 8.591e-13 1.045e-10 6.774e-04]  [3 -16 76]
 NS 10-1  4.178e+01  [0 1.000e+00 1.432e+02 3.088e-04]  [2 -18 68]
 NS 10-2  4.259e+01  [-70 3.110e-04 4.454e-02 1.945e-04]  [4 -17 77]
 NS 10-3  4.335e+01  [-126 4.578e-07 6.556e-05 6.035e-04]  [3 -17 73]
 NS 10-4  4.422e+01  [-184 6.229e-10 8.919e-08 9.539e-04]  [3 -18 77]
 NS 10-5s 4.526e+01  [-238 1.228e-12 1.759e-10 2.122e-04]  [4 -17 80]
 NS 11-1  4.632e+01  [0 1.000e+00 1.660e+02 3.280e-04]  [2 -17 51]
 NS 11-2  4.745e+01  [-69 3.301e-04 5.481e-02 2.230e-04]  [4 -17 83]
 NS 11-3  4.822e+01  [-124 6.229e-07 1.034e-04 6.307e-04]  [3 -17 75]
 NS 11-4  4.905e+01  [-180 9.461e-10 1.571e-07 8.368e-04]  [3 -19 76]
 NS 11-5  4.988e+01  [-234 1.967e-12 3.265e-10 9.423e-04]  [3 -17 73]
 NS 12-1  5.046e+01  [0 1.000e+00 1.888e+02 3.083e-04]  [2 -18 68]
 NS 12-2  5.155e+01  [-70 3.116e-04 5.882e-02 2.047e-04]  [4 -17 81]
 NS 12-3  5.240e+01  [-123 6.674e-07 1.260e-04 5.866e-04]  [3 -17 76]
 NS 12-4  5.325e+01  [-178 1.174e-09 2.216e-07 7.446e-04]  [3 -19 76]
 NS 12-5s 5.403e+01  [-230 2.867e-12 5.412e-10 7.985e-04]  [3 -17 72]
 NS 13-1  5.500e+01  [0 1.000e+00 2.121e+02 3.100e-04]  [2 -18 46]
 NS 13-2  5.598e+01  [-70 3.139e-04 6.656e-02 2.111e-04]  [4 -17 79]
 NS 13-3  5.674e+01  [-121 7.977e-07 1.692e-04 5.943e-04]  [3 -17 73]
 NS 13-4  5.762e+01  [-176 1.574e-09 3.338e-07 6.967e-04]  [3 -19 78]
 NS 13-5  5.833e+01  [-227 4.360e-12 9.247e-10 7.461e-04]  [3 -17 71]
 NS 14-1  5.901e+01  [0 1.000e+00 2.353e+02 3.038e-04]  [2 -18 71]
 NS 14-2  6.005e+01  [-70 3.088e-04 7.265e-02 2.065e-04]  [4 -17 81]
 NS 14-3  6.090e+01  [-120 9.004e-07 2.118e-04 5.759e-04]  [3 -17 76]
 NS 14-4  6.170e+01  [-174 1.995e-09 4.694e-07 6.649e-04]  [3 -19 75]
 NS 14-5s 6.258e+01  [-223 6.433e-12 1.513e-09 7.361e-04]  [3 -16 77]
 NS 15-1  6.359e+01  [0 1.000e+00 2.586e+02 3.028e-04]  [2 -18 46]
 NS 15-2  6.457e+01  [-70 3.089e-04 7.986e-02 2.088e-04]  [4 -17 80]
 NS 15-3  6.531e+01  [-119 1.034e-06 2.674e-04 5.756e-04]  [3 -17 72]
 NS 15-4  6.606e+01  [-171 2.542e-09 6.573e-07 6.495e-04]  [3 -18 74]
 NS 15-5  6.690e+01  [-220 9.489e-12 2.453e-09 7.479e-04]  [3 -16 75]
 NS 16-1  6.751e+01  [0 1.000e+00 2.817e+02 3.005e-04]  [2 -18 66]
 NS 16-2  6.849e+01  [-70 3.079e-04 8.673e-02 2.067e-04]  [4 -17 79]
 NS 16-3  6.928e+01  [-118 1.168e-06 3.291e-04 5.687e-04]  [3 -17 75]
 NS 16-4  7.017e+01  [-169 3.172e-09 8.936e-07 6.420e-04]  [3 -18 76]
 NS 16-5s 7.111e+01  [-217 1.371e-11 3.861e-09 7.657e-04]  [3 -16 78]
 NS 17-1  7.215e+01  [0 1.000e+00 3.047e+02 2.999e-04]  [2 -18 49]
 NS 17-2  7.327e+01  [-70 3.086e-04 9.401e-02 2.070e-04]  [4 -17 82]
 NS 17-3  7.391e+01  [-117 1.323e-06 4.030e-04 5.695e-04]  [3 -17 71]
 NS 17-4  7.476e+01  [-168 3.940e-09 1.200e-06 6.370e-04]  [3 -18 76]
 NS 17-5  7.569e+01  [-214 1.959e-11 5.968e-09 7.787e-04]  [3 -16 77]
 NS 18-1  7.634e+01  [0 1.000e+00 3.274e+02 2.992e-04]  [2 -18 69]
 NS 18-2  7.736e+01  [-70 3.095e-04 1.013e-01 2.070e-04]  [4 -17 80]
 NS 18-3  7.822e+01  [-116 1.489e-06 4.875e-04 5.704e-04]  [3 -17 77]
 NS 18-4  7.915e+01  [-166 4.840e-09 1.585e-06 6.324e-04]  [3 -18 79]
 NS 18-5s 8.007e+01  [-211 2.746e-11 8.991e-09 7.844e-04]  [3 -15 78]
 NS 19-1  8.104e+01  [0 1.000e+00 3.498e+02 2.992e-04]  [2 -18 43]
 NS 19-2  8.195e+01  [-70 3.111e-04 1.088e-01 2.074e-04]  [4 -17 77]
 NS 19-3  8.275e+01  [-115 1.672e-06 5.848e-04 5.745e-04]  [3 -17 76]
 NS 19-4  8.363e+01  [-164 5.891e-09 2.061e-06 6.296e-04]  [3 -17 76]
 NS 19-5  8.455e+01  [-208 3.780e-11 1.322e-08 7.849e-04]  [3 -15 77]
 NS 20-1  8.522e+01  [0 1.000e+00 3.719e+02 2.995e-04]  [2 -18 69]
 NS 20-2  8.625e+01  [-70 3.131e-04 1.164e-01 2.081e-04]  [4 -17 80]
 NS 20-3  8.714e+01  [-114 1.871e-06 6.959e-04 5.783e-04]  [3 -17 78]
 NS 20-4  8.806e+01  [-162 7.112e-09 2.645e-06 6.231e-04]  [3 -17 78]
 NS 20-5s 8.902e+01  [-205 5.125e-11 1.906e-08 7.789e-04]  [3 -15 79]
 NS 21-1  8.996e+01  [0 1.000e+00 3.936e+02 3.002e-04]  [2 -18 43]
 NS 21-2  9.085e+01  [-70 3.157e-04 1.243e-01 2.087e-04]  [4 -17 80]
 NS 21-3  9.177e+01  [-113 2.084e-06 8.203e-04 5.832e-04]  [3 -17 78]
 NS 21-4  9.265e+01  [-161 8.508e-09 3.349e-06 6.186e-04]  [3 -17 79]
 NS 21-5  9.351e+01  [-203 6.851e-11 2.697e-08 7.725e-04]  [3 -15 76]
 NS 22-1  9.426e+01  [0 1.000e+00 4.150e+02 3.011e-04]  [2 -18 74]
 NS 22-2  9.525e+01  [-69 3.186e-04 1.322e-01 2.096e-04]  [4 -17 81]
 NS 22-3  9.615e+01  [-112 2.308e-06 9.578e-04 5.875e-04]  [3 -17 77]
 NS 22-4  9.698e+01  [-159 1.010e-08 4.191e-06 6.133e-04]  [3 -17 75]
 NS 22-5s 9.783e+01  [-200 9.039e-11 3.751e-08 7.654e-04]  [3 -16 74]
 NS 23-1  9.863e+01  [0 1.000e+00 4.358e+02 3.023e-04]  [2 -18 36]
 NS 23-2  9.963e+01  [-69 3.218e-04 1.403e-01 2.106e-04]  [4 -17 80]
 NS 23-3  1.004e+02  [-111 2.543e-06 1.108e-03 5.924e-04]  [3 -17 72]
 NS 23-4  1.012e+02  [-158 1.191e-08 5.192e-06 6.086e-04]  [3 -16 74]
 NS 23-5  1.020e+02  [-198 1.179e-10 5.137e-08 7.605e-04]  [3 -16 73]
 NS 24-1  1.026e+02  [0 1.000e+00 4.562e+02 3.038e-04]  [2 -18 63]
 NS 24-2  1.036e+02  [-69 3.254e-04 1.485e-01 2.117e-04]  [4 -17 80]
 NS 24-3  1.044e+02  [-111 2.788e-06 1.272e-03 5.965e-04]  [3 -17 74]
 NS 24-4  1.052e+02  [-157 1.397e-08 6.371e-06 6.040e-04]  [3 -16 74]
 NS 24-5s 1.060e+02  [-196 1.518e-10 6.923e-08 7.577e-04]  [3 -16 74]
